FixedFormatFile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"怪物ID，（定义规则：NXXXYYZZZ；  N为大类，1测试；2地图怪物，3副本怪物，4NPC，5功能型；XXX为所在地图ID；  YY为子类型，N=2,3时，00为小怪，02为首领；N=4时，应为00；N=5时，01表示传送；   ZZZ为编号）",怪物名（可不填，仅为方便脚本配置人员了解是哪个怪物）,怪物模型资源名字，字符串，用于显示,模型厚度比例x,模型身高比例y,模型宽度比例z,模型颜色红色,模型颜色绿色,模型颜色蓝色,模型透明度,怪物头像图片资源名字，字符串,调色板ID（造型相同的怪物颜色不同）,AI信息的ID,"类型, 10：一般怪物，11：不可被攻击的怪物",怪物的种族,怪物的派别,不填为小怪；2为头领；3为稀有；4为护卫；5为BOSS；6为BBOSS头领；7为囚笼；,是否被过滤,怪物的等级,阵营（0：全门派友善； 123：对应门派ID，与本门派友善，与其它门派敌对； 11；全门派敌对）， 注：玩家和玩家召唤的宠物的静态阵营ID都是其所属门派ID,能否被选中，0：表示可以被选中，1：表示不能被选中,为1表示可以对话,怪物的视野，单位：米,为1表示不接受事件,怪物被杀死后，玩家获得的金钱，绑定,怪物可被攻击的半径，用于建筑等体积巨大的物件,怪物占位的半径：单位：分米,为1表示生物无占位,相对回归半径,绝对回归半径,时间回归，单位：毫秒,为1表示回归时不回血,基本移动速度，单位：x毫秒/米,基础攻击速度，单位：x毫秒/次,怪物的奖励归属类型，1：最后的攻击者拥有奖励，2：第一个攻击者拥有奖励，3：持续攻击者拥有奖励，4：指定奖励拥有者，5：最后的玩家攻击者拥有奖励（宠物、召唤兽等杀死不算），6：按伤害比例进行计算怪物归属，7：队伍分配时随机选择队员获得奖励,怪物掉落ID的集合，形如：ID1+ID2+ID3,技能索引集合，形如：Index1+Index2+Index3,对应技能使用概率的集合，千分比，形如：Prob1+Prob2+Prob3,怪物属性，配合技能使用,怪物出生动画光效,功能集(1、任务 2、传送 3、任务 8、商店 10、寄售 20、法宝炼制 40、法宝经验 80、法宝替换 100、排行版 200、激活码信息),每个功能对应的功能ID,怪物势力,性别(1男，2女),AI跟踪,怪物称号,头顶图片,骑乘动画（坐骑专用）,移动动画（坐骑专用）,休闲动画（坐骑专用）,属性计算公式类型ID，10000001是幻兽公式,对应采集物ID,魂数量，搜魂灯使用,特殊死亡动画机率(1000分制),特殊死亡动画,荣誉点,是否不消耗亲朋金币(1表示不消耗，0表示消耗亲朋币),击杀率下限(1-1000),击杀率上限(1-1000),免伤率
10000007,秋凝霜,dashijie.eqs,100,100,100,,,,,,,1,10,,,1,,30,0,,,15,,,,5,,5,5,,,400,2000,3,,504+508,600+400,,,,,宗门,,,大师姐,,,,,300,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000100,穿山甲王,PET_Q_zhanhun.eqs,100,100,100,,,,,,,1,10,,,1,,30,0,,,3,,,,5,,14,14,,,600,2000,3,,4,1000,,,,,未知势力,,,测试专用,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000101,桃树精,PET_Q_zhanhun.eqs,100,100,100,,,,,,,1,10,,,1,,40,0,,,3,,,,5,,14,14,,,600,2000,3,,4,1000,,,,,未知势力,,,测试专用,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000201,初级猴精,HJ01.eqs,100,100,100,,,,,,,311,10,,,1,,30,0,,,3,,,,5,,14,14,,,600,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,未知势力,,,测试专用,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000202,中级猴精,HJ02.eqs,100,100,100,,,,,,,312,10,,,1,,40,0,,,3,,,,5,,14,14,,,600,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,未知势力,,,测试专用,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000203,高级猴精,HJ03.eqs,100,100,100,,,,,,,313,10,,,1,,50,0,,,3,,,,5,,14,14,,,600,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,未知势力,,,测试专用,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000204,六耳猕猴,liuermihou.eqs,100,100,100,,,,,,,315,10,,,1,,50,0,,,3,,,,5,,14,14,,,600,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,未知势力,,,测试专用,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000300,踏云驹,zq_zhanma.eqs,100,100,100,,,,,,,0,11,,,1,1,1,0,1,,0,,,,5,,0,0,,,400,0,3,,0,0,,,,,,,,,,RideMount_Horse,RideMount_Horse_Run,RideMount_Horse_Idle,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000301,剑刃魔虎,zq_jianrenshou.eqs,100,100,100,,,,,,,0,11,,,1,1,1,0,1,,0,,,,5,,0,0,,,400,0,3,,0,0,,,,,,,,,,RideMount_Horse,RideMount_Horse_Run,RideMount_Horse_Idle,100,,,900,TY_oth_baozha_3_siwang,20,,,,5
10000302,帝苏之狐,za_qiwei.eqs,100,100,100,,,,,,,0,11,,,1,1,1,0,1,,0,,,,5,,0,0,,,400,0,3,,0,0,,,,,,,,,,RideMount_Horse,RideMount_Horse_Run,RideMount_Horse_Idle,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000303,风云翼虎,zq_baiguanghu.eqs,100,100,100,,,,,,,0,11,,,1,1,1,0,1,,0,,,,5,,0,0,,,400,0,3,,0,0,,,,,,,,,,RideMount_Horse,RideMount_Horse_Run,RideMount_Horse_Idle,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000304,赤霞魔蝎,zq_shuijingxiezi.eqs,100,100,100,,,,,,,0,11,,,1,1,1,0,1,,0,,,,5,,0,0,,,400,0,3,,0,0,,,,,,,,,,RideMount_Horse,RideMount_Horse_Run,RideMount_Horse_Idle,100,,,900,TY_oth_baozha_3_siwang,20,,,,5
10000305,通天麒麟,zq_qilin.eqs,100,100,100,,,,,,,0,11,,,1,1,1,0,1,,0,,,,5,,0,0,,,400,0,3,,0,0,,,,,,,,,,RideMount_Horse,RideMount_Horse_Run,RideMount_Horse_Idle,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000306,龙须虎,zq_longxuhu.eqs,100,100,100,,,,,,,0,11,,,1,1,1,0,1,,0,,,,5,,0,0,,,400,0,3,,0,0,,,,,,,,,,RideMount_Horse,RideMount_Horse_Run,RideMount_Horse_Idle,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000307,九渊冥龙,zq_huangjinshe.eqs,100,100,100,,,,,,,0,11,,,1,1,1,0,1,,0,,,,5,,0,0,,,400,0,3,,0,0,,,,,,,,,,RideMount_Horse,RideMount_Bear_Run,RideMount_Bear_Idle,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000308,炼狱魔熊,zq_lieyanzhanxiong.eqs,100,100,100,,,,,,,0,11,,,1,1,1,0,1,,0,,,,5,,0,0,,,400,0,3,,0,0,,,,,,,,,,RideMount_Bear,RideMount_Bear_Run,RideMount_Bear_Idle,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000309,穷奇幻灵,zq_qiongqi.eqs,100,100,100,,,,,,,0,11,,,1,1,1,0,1,,0,,,,5,,0,0,,,400,0,3,,0,0,,,,,,,,,,RideMount_Horse,RideMount_Horse_Run,RideMount_Horse_Idle,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000310,九天葫芦,zq_hulu.eqs,100,100,100,,,,,,,0,11,,,1,1,1,0,1,,0,,,,5,,0,0,,,400,0,3,,0,0,,,,,,,,,,RideMount_Hulu,RideMount_Hulu_Run,RideMount_Hulu_Idle,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000311,灵虚飞剑,zq_feijian.eqs,90,90,90,,,,,,,0,11,,,1,1,1,0,1,,0,,,,5,,0,0,,,400,0,3,,0,0,,,,,,,,,,RideMount_Sword,RideMount_Sword_Run,RideMount_Sword_Idle,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000312,踏云驹·离火,zq_zhanma_01.eqs,110,110,110,,,,,,,0,11,,,1,1,1,0,1,,0,,,,5,,0,0,,,400,0,3,,0,0,,,,,,,,,,RideMount_Horse,RideMount_Horse_Run,RideMount_Horse_Idle,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000313,剑刃魔虎·风行,zq_jianrenshou_01.eqs,110,110,110,,,,,,,0,11,,,1,1,1,0,1,,0,,,,5,,0,0,,,400,0,3,,0,0,,,,,,,,,,RideMount_Horse,RideMount_Horse_Run,RideMount_Horse_Idle,100,,,900,TY_oth_baozha_3_siwang,20,,,,5
10000314,帝苏之狐·夫猜,za_qiwei.eqs,110,110,110,,,,,,,0,11,,,1,1,1,0,1,,0,,,,5,,0,0,,,400,0,3,,0,0,,,,,,,,,,RideMount_Horse,RideMount_Horse_Run,RideMount_Horse_Idle,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000315,风云翼虎·神行,zq_baiguanghu.eqs,110,110,110,,,,,,,0,11,,,1,1,1,0,1,,0,,,,5,,0,0,,,400,0,3,,0,0,,,,,,,,,,RideMount_Horse,RideMount_Horse_Run,RideMount_Horse_Idle,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000316,赤霞魔蝎·魔云,zq_shuijingxiezi_01.eqs,110,110,110,,,,,,,0,11,,,1,1,1,0,1,,0,,,,5,,0,0,,,400,0,3,,0,0,,,,,,,,,,RideMount_Horse,RideMount_Horse_Run,RideMount_Horse_Idle,100,,,900,TY_oth_baozha_3_siwang,20,,,,5
10000317,通天麒麟·无形,zq_qilin.eqs,110,110,110,,,,,,,0,11,,,1,1,1,0,1,,0,,,,5,,0,0,,,400,0,3,,0,0,,,,,,,,,,RideMount_Horse,RideMount_Horse_Run,RideMount_Horse_Idle,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000318,龙须虎·辟水,zq_longxuhu_01.eqs,110,110,110,,,,,,,0,11,,,1,1,1,0,1,,0,,,,5,,0,0,,,400,0,3,,0,0,,,,,,,,,,RideMount_Horse,RideMount_Horse_Run,RideMount_Horse_Idle,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000319,九渊冥龙·入冥,zq_huangjinshe_01.eqs,110,110,110,,,,,,,0,11,,,1,1,1,0,1,,0,,,,5,,0,0,,,400,0,3,,0,0,,,,,,,,,,RideMount_Horse,RideMount_Bear_Run,RideMount_Bear_Idle,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000320,炼狱魔熊·骨火,zq_lieyanzhanxiong_01.eqs,110,110,110,,,,,,,0,11,,,1,1,1,0,1,,0,,,,5,,0,0,,,400,0,3,,0,0,,,,,,,,,,RideMount_Bear,RideMount_Bear_Run,RideMount_Bear_Idle,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000321,穷奇幻灵·春秋,zq_qiongqi.eqs,110,110,110,,,,,,,0,11,,,1,1,1,0,1,,0,,,,5,,0,0,,,400,0,3,,0,0,,,,,,,,,,RideMount_Horse,RideMount_Horse_Run,RideMount_Horse_Idle,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000322,九天葫芦·天机,zq_hulu_01.eqs,110,110,110,,,,,,,0,11,,,1,1,1,0,1,,0,,,,5,,0,0,,,400,0,3,,0,0,,,,,,,,,,RideMount_Hulu,RideMount_Hulu_Run,RideMount_Hulu_Idle,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000323,灵虚飞剑·影遁,zq_feijian_01.eqs,110,110,110,,,,,,,0,11,,,1,1,1,0,1,,0,,,,5,,0,0,,,400,0,3,,0,0,,,,,,,,,,RideMount_Sword,RideMount_Sword_Run,RideMount_Sword_Idle,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000400,玄铁破空刃·搜魂,mb_jian_01.eqs,130,130,130,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,魔兵,,,,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000401,幽金镇魔锤·雷殛,mb_cui_01.eqs,130,130,130,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,魔兵,,,,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000402,炎霜祖龙剑·帝归,mb_jian_03.eqs,130,130,130,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,魔兵,,,,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000403,炼魂伏魔杵·普渡,mb_chu_01.eqs,130,130,130,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,魔兵,,,,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000404,万法绮罗伞·八荒,mb_san_02.eqs,130,130,130,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,魔兵,,,,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000405,冥牙断魂刀·血饮,mb_dao_02.eqs,130,130,130,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,魔兵,,,,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000406,冥火双翼刃·灭绝,mb_dao_01.eqs,130,130,130,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,魔兵,,,,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000407,虚空双刃斧·星芒,mb_fu_01.eqs,130,130,130,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,魔兵,,,,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000408,乾坤缚龙柱·天罚,mb_zhu_01.eqs,130,130,130,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,魔兵,,,,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000409,九幽夺日戟·葬魂,mb_qiang_01.eqs,130,130,130,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,魔兵,,,,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000410,囚笼飞鹰杖·离恨,mb_zhang_01.eqs,130,130,130,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,魔兵,,,,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000411,飞天逐日弓·星陨,mb_gong_01.eqs,130,130,130,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,魔兵,,,,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000412,浑天虚空扇·毁灭,mb_shan_01.eqs,130,130,130,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,魔兵,,,,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000413,真·玄铁破空刃·搜魂,mb_jian_01.eqs,170,170,170,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,魔兵,,,,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000414,真·幽金镇魔锤·雷殛,mb_cui_01.eqs,170,170,170,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,魔兵,,,,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000415,真·炎霜祖龙剑·帝归,mb_jian_03.eqs,170,170,170,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,魔兵,,,,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000416,真·炼魂伏魔杵·普渡,mb_chu_01.eqs,170,170,170,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,魔兵,,,,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000417,真·万法绮罗伞·八荒,mb_san_02.eqs,170,170,170,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,魔兵,,,,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000418,真·冥牙断魂刀·血饮,mb_dao_02.eqs,170,170,170,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,魔兵,,,,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000419,真·冥火双翼刃·灭绝,mb_dao_01.eqs,170,170,170,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,魔兵,,,,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000420,真·虚空双刃斧·星芒,mb_fu_01.eqs,170,170,170,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,魔兵,,,,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000421,真·乾坤缚龙柱·天罚,mb_zhu_01.eqs,170,170,170,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,魔兵,,,,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000422,真·九幽夺日戟·葬魂,mb_qiang_01.eqs,170,170,170,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,魔兵,,,,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000423,真·囚笼飞鹰杖·离恨,mb_zhang_01.eqs,170,170,170,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,魔兵,,,,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000424,真·飞天逐日弓·星陨,mb_gong_01.eqs,170,170,170,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,魔兵,,,,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
10000425,真·浑天虚空扇·毁灭,mb_shan_01.eqs,170,170,170,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,魔兵,,,,,,,,100,,,900,TY_oth_baozha_2_siwang,20,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000500,七彩流华珠·吞灵,yuanqizhu.eqs,130,130,130,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,仙甲,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,,,5
10000501,九幽浮屠塔·镇魂,fututa.eqs,130,130,130,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,仙甲,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,,,5
10000502,玄天太极镜·归墟,taijilihuanjing.eqs,130,130,130,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,仙甲,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,,,5
10000503,月华蝴蝶锁·乱舞,hudieren.eqs,130,130,130,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,仙甲,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,,,5
10000504,白骨朱颜葫·乾坤,jiujiuhongsanpohulu.eqs,130,130,130,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,仙甲,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,,,5
10000505,灭世修罗镜·混沌,XJ_xiuluomietianjing.eqs,130,130,130,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,仙甲,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,,,5
10000506,刑天五龙轮·万象,wulonglun.eqs,130,130,130,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,仙甲,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,,,5
10000507,渎心摄魂铃·轮回,shehunling.eqs,130,130,130,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,仙甲,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,,,5
10000508,龙魂星辰眼·不灭,yuehualun.eqs,130,130,130,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,仙甲,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,,,5
10000509,黎山五火扇·伏法,wuhuoshenyanshan.eqs,130,130,130,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,仙甲,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,,,5
10000510,离·七彩流华珠·吞灵,yuanqizhu.eqs,170,170,170,,,,,,,317,11,,,1,1,1,0,1,,15,,,,5,,5,5,,,200,2000,3,,0,0,,,,,仙甲,,,,,,,,100,,,100,TY_oth_baozha_2_siwang,20,,,,5
